State_Name District_Name Crop_Year Season Crop Area Production
AndhraPradesh ANANTAPUR 2000 Kharif Korra 1626 1143
AndhraPradesh ANANTAPUR 2000 Kharif Maize 3475 9049
AndhraPradesh ANANTAPUR 2000 Kharif Moong(GreenGram) 1744 774
AndhraPradesh ANANTAPUR 2000 Kharif Onion 1103 15470
AndhraPradesh ANANTAPUR 2000 Kharif OtherKharifpulses 3167 559
AndhraPradesh ANANTAPUR 2000 Kharif othermiscpulses 1292 214
AndhraPradesh ANANTAPUR 2000 Kharif Ragi 6613 16923
AndhraPradesh ANANTAPUR 2000 Kharif Rice 39905 117680
AndhraPradesh ANANTAPUR 2000 Kharif Samai 21 5
AndhraPradesh ANANTAPUR 2000 Kharif Sesamum 5 1
AndhraPradesh ANANTAPUR 2000 Kharif Smallmillets 1647 1148
AndhraPradesh ANANTAPUR 2000 Kharif Sunflower 30606 24590
AndhraPradesh ANANTAPUR 2000 Kharif Urad 135 8
AndhraPradesh ANANTAPUR 2000 Rabi ArharTur 35 9
AndhraPradesh ANANTAPUR 2000 Rabi Bajra 317 185
AndhraPradesh ANANTAPUR 2000 Rabi Drychillies 71 81
AndhraPradesh ANANTAPUR 2000 Rabi Gram 33858 22685
AndhraPradesh ANANTAPUR 2000 Rabi Groundnut 23048 23832
AndhraPradesh ANANTAPUR 2000 Rabi Horsegram 377 80
AndhraPradesh ANANTAPUR 2000 Rabi Jowar 15242 16980
AndhraPradesh ANANTAPUR 2000 Rabi Korra 96 67
AndhraPradesh ANANTAPUR 2000 Rabi Linseed 8 2
AndhraPradesh ANANTAPUR 2000 Rabi Maize 399 2148
AndhraPradesh ANANTAPUR 2000 Rabi Onion 482 11514
AndhraPradesh ANANTAPUR 2000 Rabi Ragi 909 1312
AndhraPradesh ANANTAPUR 2000 Rabi Rice 22099 57236
AndhraPradesh ANANTAPUR 2000 Rabi Safflower 703 129
AndhraPradesh ANANTAPUR 2000 Rabi Smallmillets 96 67
AndhraPradesh ANANTAPUR 2000 Rabi Urad 363 292
AndhraPradesh ANANTAPUR 2000 Rabi Wheat 520 297
AndhraPradesh ANANTAPUR 2000 WholeYear Arecanut 252 696
AndhraPradesh ANANTAPUR 2000 WholeYear Banana 769 11693
AndhraPradesh ANANTAPUR 2000 WholeYear Coconut 908 3896970
AndhraPradesh ANANTAPUR 2000 WholeYear Coriander 8953 2266
AndhraPradesh ANANTAPUR 2000 WholeYear Potato 4 34
AndhraPradesh ANANTAPUR 2000 WholeYear Sugarcane 284 25395
AndhraPradesh ANANTAPUR 2000 WholeYear Sweetpotato 28 379
AndhraPradesh ANANTAPUR 2000 WholeYear Tobacco 89 114
AndhraPradesh ANANTAPUR 2000 WholeYear Turmeric 39 272
AndhraPradesh ANANTAPUR 2001 Kharif ArharTur 27942 7628
AndhraPradesh ANANTAPUR 2001 Kharif Bajra 1595 526
AndhraPradesh ANANTAPUR 2001 Kharif Castorseed 3191 900
AndhraPradesh ANANTAPUR 2001 Kharif Cotton(lint) 8552 9055
AndhraPradesh ANANTAPUR 2001 Kharif Drychillies 3765 7127
AndhraPradesh ANANTAPUR 2001 Kharif Gram 16 17
AndhraPradesh ANANTAPUR 2001 Kharif Groundnut 758700 333828
AndhraPradesh ANANTAPUR 2001 Kharif Horsegram 649 60
AndhraPradesh ANANTAPUR 2001 Kharif Jowar 3900 6720
AndhraPradesh ANANTAPUR 2001 Kharif Korra 1434 627
AndhraPradesh ANANTAPUR 2001 Kharif Maize 2667 7129
AndhraPradesh ANANTAPUR 2001 Kharif Moong(GreenGram) 1511 730
AndhraPradesh ANANTAPUR 2001 Kharif Onion 1165 19232
AndhraPradesh ANANTAPUR 2001 Kharif OtherKharifpulses 2496 324
AndhraPradesh ANANTAPUR 2001 Kharif Ragi 5124 12405
AndhraPradesh ANANTAPUR 2001 Kharif Rice 32878 95609
